searched_name,matched_author_id,matched_author_name,matched_author_orcid,id,display_name,title,publication_date,publication_year,type,doi,cited_by_count,is_oa,oa_status,Institution_ID,program,institution_name
Brooke Biddlecombe,https://openalex.org/A5030652486,Brooke A. Biddlecombe,https://orcid.org/0000-0002-3273-0644,https://openalex.org/W3138291332,Effects of sea ice fragmentation on polar bear migratory movement in Hudson Bay,Effects of sea ice fragmentation on polar bear migratory movement in Hudson Bay,2021-03-23,2021,article,https://doi.org/10.3354/meps13684,16,FALSE,closed,Manitoba,PhD,University of Manitoba
Brooke Biddlecombe,https://openalex.org/A5030652486,Brooke A. Biddlecombe,https://orcid.org/0000-0002-3273-0644,https://openalex.org/W4220682488,Modeling population trajectory and probability of decline in northern Hudson Bay narwhals (<i>Monodon monoceros</i>),Modeling population trajectory and probability of decline in northern Hudson Bay narwhals (<i>Monodon monoceros</i>),2022-03-21,2022,article,https://doi.org/10.1111/mms.12925,6,TRUE,hybrid,Manitoba,PhD,University of Manitoba
Brooke Biddlecombe,https://openalex.org/A5030652486,Brooke A. Biddlecombe,https://orcid.org/0000-0002-3273-0644,https://openalex.org/W4378189281,Estimating abundance of Eastern Canada-West Greenland bowhead whales using genetic mark-recapture analyses,Estimating abundance of Eastern Canada-West Greenland bowhead whales using genetic mark-recapture analyses,2023-05-25,2023,article,https://doi.org/10.1016/j.gecco.2023.e02524,6,TRUE,gold,Manitoba,PhD,University of Manitoba
Brooke Biddlecombe,https://openalex.org/A5030652486,Brooke A. Biddlecombe,https://orcid.org/0000-0002-3273-0644,https://openalex.org/W4403965912,SEROPREVALENCE OF ERYSIPELOTHRIX RHUSIOPATHIAE IN BEAUFORT SEA POLAR BEARS (URSUS MARITIMUS) IS LINKED TO RINGED SEAL (PUSA HISPIDA) DEMOGRAPHICS,SEROPREVALENCE OF ERYSIPELOTHRIX RHUSIOPATHIAE IN BEAUFORT SEA POLAR BEARS (URSUS MARITIMUS) IS LINKED TO RINGED SEAL (PUSA HISPIDA) DEMOGRAPHICS,2025-01-31,2025,article,https://doi.org/10.7589/jwd-d-24-00078,3,FALSE,closed,Manitoba,PhD,University of Manitoba
Brooke Biddlecombe,https://openalex.org/A5030652486,Brooke A. Biddlecombe,https://orcid.org/0000-0002-3273-0644,https://openalex.org/W3016250847,Comparing sea ice habitat fragmentation metrics using integrated step selection analysis,Comparing sea ice habitat fragmentation metrics using integrated step selection analysis,2020-04-12,2020,article,https://doi.org/10.1002/ece3.6233,7,TRUE,gold,Manitoba,PhD,University of Manitoba
Brooke Biddlecombe,https://openalex.org/A5030652486,Brooke A. Biddlecombe,https://orcid.org/0000-0002-3273-0644,https://openalex.org/W4225959154,Incorporating environmental covariates into a Bayesian stock production model for the endangered Cumberland Sound beluga population,Incorporating environmental covariates into a Bayesian stock production model for the endangered Cumberland Sound beluga population,2022-03-14,2022,article,https://doi.org/10.3354/esr01186,2,TRUE,gold,Manitoba,PhD,University of Manitoba
Brooke Biddlecombe,https://openalex.org/A5030652486,Brooke A. Biddlecombe,https://orcid.org/0000-0002-3273-0644,https://openalex.org/W4411408176,Combining multiple data sources to model population dynamics of Eastern Canada-West Greenland bowhead whales,Combining multiple data sources to model population dynamics of Eastern Canada-West Greenland bowhead whales,2025-06-18,2025,article,https://doi.org/10.1016/j.jenvman.2025.126183,1,TRUE,hybrid,Manitoba,PhD,University of Manitoba
Andrea Brown,https://openalex.org/A5065925940,Andrea Brown,https://orcid.org/0000-0002-2038-7535,https://openalex.org/W3136340045,Nomadic breeders Snowy Owls (<i>Bubo scandiacus</i>) do not use stopovers to sample the summer environment,Nomadic breeders Snowy Owls (<i>Bubo scandiacus</i>) do not use stopovers to sample the summer environment,2021-03-12,2021,article,https://doi.org/10.1111/ibi.12950,7,FALSE,closed,McGill,MSc,McGill University
Caroline Dallstream,https://openalex.org/A5034917000,Caroline Dallstream,https://orcid.org/0000-0002-9193-0611,https://openalex.org/W4214931459,A framework for fine‐root trait syndromes: syndrome coexistence may support phosphorus partitioning in tropical forests,A framework for fine‐root trait syndromes: syndrome coexistence may support phosphorus partitioning in tropical forests,2022-03-02,2022,article,https://doi.org/10.1111/oik.08908,28,FALSE,closed,McGill,PhD,McGill University
Caroline Dallstream,https://openalex.org/A5034917000,Caroline Dallstream,https://orcid.org/0000-0002-9193-0611,https://openalex.org/W4409974870,Strong scale‐dependent relationships between fine‐root function and soil properties uncovered with spatially coupled sampling,Strong scale‐dependent relationships between fine‐root function and soil properties uncovered with spatially coupled sampling,2025-04-29,2025,article,https://doi.org/10.1111/nph.70143,5,TRUE,hybrid,McGill,PhD,McGill University
Jonathan Diamond,https://openalex.org/A5067351791,Jonathan Diamond,https://orcid.org/0000-0002-4776-090X,https://openalex.org/W4319834864,Patterns of functional diversity along latitudinal gradients of species richness in eleven fish families,Patterns of functional diversity along latitudinal gradients of species richness in eleven fish families,2023-01-16,2023,article,https://doi.org/10.1111/geb.13633,13,FALSE,closed,McGill,MSc,McGill University
Jonathan Diamond,https://openalex.org/A5067351791,Jonathan Diamond,https://orcid.org/0000-0002-4776-090X,https://openalex.org/W4389681998,Chipping in: functional morphology of the American beaver under range expansion,Chipping in: functional morphology of the American beaver under range expansion,2023-12-12,2023,article,https://doi.org/10.1111/jzo.13138,1,TRUE,hybrid,McGill,MSc,McGill University
Sandra Emry,https://openalex.org/A5009189365,Sandra Emry,https://orcid.org/0000-0001-6882-2105,https://openalex.org/W4416413055,It Takes a Network: Building Biodiversity Knowledge Through Collaboration,It Takes a Network: Building Biodiversity Knowledge Through Collaboration,2025-11-20,2025,article,https://doi.org/10.3897/biss.9.178568,0,TRUE,diamond,UBC,PhD,University of British Columbia
Amelia Hesketh,https://openalex.org/A5052482231,Amelia V. Hesketh,https://orcid.org/0000-0002-7344-8565,https://openalex.org/W4292315840,"Extreme heatwave drives topography‐dependent patterns of mortality in a bed‐forming intertidal barnacle, with implications for associated community structure","Extreme heatwave drives topography‐dependent patterns of mortality in a bed‐forming intertidal barnacle, with implications for associated community structure",2022-08-17,2022,article,https://doi.org/10.1111/gcb.16390,42,TRUE,hybrid,UBC,PhD,University of British Columbia
Amelia Hesketh,https://openalex.org/A5052482231,Amelia V. Hesketh,https://orcid.org/0000-0002-7344-8565,https://openalex.org/W3179826834,Ecological and environmental context shape the differential effects of a facilitator in its native and invaded ranges,Ecological and environmental context shape the differential effects of a facilitator in its native and invaded ranges,2021-07-16,2021,article,https://doi.org/10.1002/ecy.3478,8,FALSE,closed,UBC,PhD,University of British Columbia
Amelia Hesketh,https://openalex.org/A5052482231,Amelia V. Hesketh,https://orcid.org/0000-0002-7344-8565,https://openalex.org/W4284677292,Seasonal and annual dynamics of western Canadian boreal forest plant communities: A legacy data set spanning four decades,Seasonal and annual dynamics of western Canadian boreal forest plant communities: A legacy data set spanning four decades,2022-07-07,2022,article,https://doi.org/10.1002/ecy.3805,3,TRUE,hybrid,UBC,PhD,University of British Columbia
Elizabeth Houghton,https://openalex.org/A5021551493,Elizabeth Houghton,https://orcid.org/0000-0003-1229-7617,https://openalex.org/W4309923205,"Effects of postharvest deficit irrigation on sweet cherry (<i>Prunus avium</i>) in five Okanagan Valley, Canada, orchards: I. Tree water status, photosynthesis, and growth","Effects of postharvest deficit irrigation on sweet cherry (<i>Prunus avium</i>) in five Okanagan Valley, Canada, orchards: I. Tree water status, photosynthesis, and growth",2022-11-24,2022,article,https://doi.org/10.1139/cjps-2022-0200,10,TRUE,hybrid,UBCO,MSc,University of British Columbia
Elizabeth Houghton,https://openalex.org/A5021551493,Elizabeth Houghton,https://orcid.org/0000-0003-1229-7617,https://openalex.org/W4317565342,"Effects of postharvest deficit irrigation on sweet cherry (<i>Prunus avium</i>) in five Okanagan Valley, Canada, orchards: II. Phenology, cold hardiness, fruit yield, and quality","Effects of postharvest deficit irrigation on sweet cherry (<i>Prunus avium</i>) in five Okanagan Valley, Canada, orchards: II. Phenology, cold hardiness, fruit yield, and quality",2023-01-20,2023,article,https://doi.org/10.1139/cjps-2022-0201,8,TRUE,hybrid,UBCO,MSc,University of British Columbia
Elizabeth Houghton,https://openalex.org/A5021551493,Elizabeth Houghton,https://orcid.org/0000-0003-1229-7617,https://openalex.org/W4385629015,Models for Estimating the Cold Hardiness of Sweet Cherry (Prunus avium cv. Sweetheart and Lapins) in Cold Climate Regions,Models for Estimating the Cold Hardiness of Sweet Cherry (Prunus avium cv. Sweetheart and Lapins) in Cold Climate Regions,2023-08-07,2023,article,https://doi.org/10.21273/hortsci17128-23,2,TRUE,gold,UBCO,MSc,University of British Columbia
Elizabeth Houghton,https://openalex.org/A5021551493,Elizabeth Houghton,https://orcid.org/0000-0003-1229-7617,https://openalex.org/W4391091211,Factors that influence measurements of sweet cherry (<i>Prunus avium</i>) flower bud cold hardiness obtained using differential thermal analysis,Factors that influence measurements of sweet cherry (<i>Prunus avium</i>) flower bud cold hardiness obtained using differential thermal analysis,2024-01-22,2024,article,https://doi.org/10.1139/cjps-2023-0087,0,TRUE,hybrid,UBCO,MSc,University of British Columbia
Elizabeth Houghton,https://openalex.org/A5021551493,Elizabeth Houghton,https://orcid.org/0000-0003-1229-7617,https://openalex.org/W4401783365,Investigating properties of sweet cherry (<i>Prunus avium</i>) flower buds that help promote freezing avoidance by supercooling,Investigating properties of sweet cherry (<i>Prunus avium</i>) flower buds that help promote freezing avoidance by supercooling,2024-08-21,2024,article,https://doi.org/10.1111/plb.13697,0,TRUE,hybrid,UBCO,MSc,University of British Columbia
Jared Hrycan,https://openalex.org/A5092450320,Jared Hrycan,NA,https://openalex.org/W4383998635,Health Status of Ready-to-Plant Grapevine Nursery Material in Canada Regarding Young Vine Decline Fungi,Health Status of Ready-to-Plant Grapevine Nursery Material in Canada Regarding Young Vine Decline Fungi,2023-07-12,2023,article,https://doi.org/10.1094/pdis-05-23-0900-sr,18,FALSE,closed,UBCO,NA,University of British Columbia
Jared Hrycan,https://openalex.org/A5092450320,Jared Hrycan,NA,https://openalex.org/W4406034533,Impact of water stress on &lt;i&gt;Phaeomoniella chlamydospora&lt;/i&gt; abundance and Petri disease symptom development in young grapevines,Impact of water stress on &lt;i&gt;Phaeomoniella chlamydospora&lt;/i&gt; abundance and Petri disease symptom development in young grapevines,2025-01-02,2025,article,https://doi.org/10.20870/oeno-one.2025.59.1.8317,2,TRUE,diamond,UBCO,NA,University of British Columbia
Jared Hrycan,https://openalex.org/A5092450320,Jared Hrycan,NA,https://openalex.org/W7129031916,Investigating the interaction between ring nematode infestation and Petri disease development in young Merlot grapevines infected with Phaeomoniella chlamydospora,Investigating the interaction between ring nematode infestation and Petri disease development in young Merlot grapevines infected with Phaeomoniella chlamydospora,2026-02-16,2026,article,https://doi.org/10.1007/s10658-025-03165-3,0,FALSE,closed,UBCO,NA,University of British Columbia
Dieter Kahl,https://openalex.org/A5021781387,Dieter Kahl,https://orcid.org/0000-0002-0058-7089,https://openalex.org/W3162436040,Identification of candidate insect vectors of <i>Grapevine red blotch virus</i> by means of an artificial feeding diet,Identification of candidate insect vectors of <i>Grapevine red blotch virus</i> by means of an artificial feeding diet,2021-05-17,2021,article,https://doi.org/10.1080/07060661.2021.1930174,12,FALSE,closed,UBCO,NA,University of British Columbia
Dieter Kahl,https://openalex.org/A5021781387,Dieter Kahl,https://orcid.org/0000-0002-0058-7089,https://openalex.org/W3205334821,Seasonal dynamics and optimal diagnostics of<i>Grapevine red blotch virus</i>in a British Columbian vineyard,Seasonal dynamics and optimal diagnostics of<i>Grapevine red blotch virus</i>in a British Columbian vineyard,2021-10-15,2021,article,https://doi.org/10.1080/07060661.2021.1993346,8,FALSE,closed,UBCO,NA,University of British Columbia
Jessica Kennedy,https://openalex.org/A5041956913,Jessica Kennedy,https://orcid.org/0000-0002-7979-1516,https://openalex.org/W3101861010,"Drivers of plasticity in freeze tolerance in the intertidal mussel, <i>Mytilus trossulus</i>","Drivers of plasticity in freeze tolerance in the intertidal mussel, <i>Mytilus trossulus</i>",2020-01-01,2020,article,https://doi.org/10.1242/jeb.233478,20,TRUE,bronze,UBC,MSc,University of British Columbia
Natasha Klasios,https://openalex.org/A5008097376,Natasha Klasios,https://orcid.org/0000-0002-7527-6090,https://openalex.org/W3112807306,"Microplastics and other anthropogenic particles are prevalent in mussels from San Francisco Bay, and show no correlation with PAHs","Microplastics and other anthropogenic particles are prevalent in mussels from San Francisco Bay, and show no correlation with PAHs",2020-12-10,2020,article,https://doi.org/10.1016/j.envpol.2020.116260,76,FALSE,closed,UBC,NA,University of British Columbia
Natasha Klasios,https://openalex.org/A5008097376,Natasha Klasios,https://orcid.org/0000-0002-7527-6090,https://openalex.org/W4393903040,Warming temperatures exacerbate effects of microplastics in a widespread zooplankton species.,Warming temperatures exacerbate effects of microplastics in a widespread zooplankton species.,2024-04-03,2024,article,https://doi.org/10.1016/j.envpol.2024.123918,18,TRUE,hybrid,UBC,NA,University of British Columbia
Natasha Klasios,https://openalex.org/A5008097376,Natasha Klasios,https://orcid.org/0000-0002-7527-6090,https://openalex.org/W4360992384,Microplastics in subsurface water and zooplankton from eight lakes in British Columbia,Microplastics in subsurface water and zooplankton from eight lakes in British Columbia,2023-03-27,2023,article,https://doi.org/10.1139/cjfas-2022-0293,13,FALSE,closed,UBC,NA,University of British Columbia
Natasha Klasios,https://openalex.org/A5008097376,Natasha Klasios,https://orcid.org/0000-0002-7527-6090,https://openalex.org/W4389140566,No Effect of Realistic Concentrations of Polyester Microplastic Fibers on Freshwater Zooplankton Communities,No Effect of Realistic Concentrations of Polyester Microplastic Fibers on Freshwater Zooplankton Communities,2023-11-29,2023,article,https://doi.org/10.1002/etc.5797,11,TRUE,bronze,UBC,NA,University of British Columbia
Anna Lippold,https://openalex.org/A5051990764,Anna Lippold,https://orcid.org/0000-0003-3842-686X,https://openalex.org/W7125517889,Brain concentrations of flame retardants and trace elements related to habitat use and brain measures in an urban-adapted gull,Brain concentrations of flame retardants and trace elements related to habitat use and brain measures in an urban-adapted gull,2026-01-23,2026,article,https://doi.org/10.1016/j.envpol.2026.127726,0,TRUE,hybrid,McGill,PhD,McGill University
Jenna Loesberg,https://openalex.org/A5088890603,Jenna A. Loesberg,https://orcid.org/0000-0002-0763-4079,https://openalex.org/W3185264578,Granivory in California sage scrub: implications for common plant invaders and ecosystem conservation,Granivory in California sage scrub: implications for common plant invaders and ecosystem conservation,2021-07-28,2021,article,https://doi.org/10.1007/s11258-021-01163-z,4,FALSE,closed,UBC,PhD,University of British Columbia
Jenna Loesberg,https://openalex.org/A5088890603,Jenna A. Loesberg,https://orcid.org/0000-0002-0763-4079,https://openalex.org/W4417114528,Seasonal climate drives population growth but not costs of reproduction of a perennial wildflower,Seasonal climate drives population growth but not costs of reproduction of a perennial wildflower,2025-12-01,2025,article,https://doi.org/10.1002/ecy.70240,1,TRUE,green,UBC,PhD,University of British Columbia
Valentin Lucet,https://openalex.org/A5020305115,Valentin Lucet,https://orcid.org/0000-0003-0268-818X,https://openalex.org/W4297899836,Integrating land use and climate change models with stakeholder priorities to evaluate habitat connectivity change: a case study in southern Québec,Integrating land use and climate change models with stakeholder priorities to evaluate habitat connectivity change: a case study in southern Québec,2022-09-14,2022,article,https://doi.org/10.1007/s10980-022-01516-7,15,FALSE,closed,McGill,NA,McGill University
Mia Marcellus,https://openalex.org/A5092356803,Mia Marcellus,https://orcid.org/0000-0001-9600-8223,https://openalex.org/W4400660627,Evolutionary history and root trait coordination predict nutrient strategy in tropical legume trees,Evolutionary history and root trait coordination predict nutrient strategy in tropical legume trees,2024-07-15,2024,article,https://doi.org/10.1111/nph.19962,10,TRUE,hybrid,McGill,NA,McGill University
Kirsten Palmier,https://openalex.org/A5071670855,Kirsten Palmier,https://orcid.org/0000-0001-9984-6468,https://openalex.org/W3041564817,First record of &lt;i&gt;Crithidia expoeki&lt;/i&gt; (Trypanosomatida: Trypanosomatidae) from native Canadian bumble bees (Hymenoptera: Apidae: &lt;i&gt;Bombus&lt;/i&gt;),First record of &lt;i&gt;Crithidia expoeki&lt;/i&gt; (Trypanosomatida: Trypanosomatidae) from native Canadian bumble bees (Hymenoptera: Apidae: &lt;i&gt;Bombus&lt;/i&gt;),2020-07-08,2020,article,https://doi.org/10.22621/cfn.v134i1.2299,2,TRUE,hybrid,Regina,MSc,University of Regina
Christina Petalas,https://openalex.org/A5059970534,Christina Petalas,NA,https://openalex.org/W3122670236,Foraging niche partitioning in sympatric seabird populations,Foraging niche partitioning in sympatric seabird populations,2021-01-28,2021,article,https://doi.org/10.1038/s41598-021-81583-z,42,TRUE,gold,McGill,NA,McGill University
Christina Petalas,https://openalex.org/A5059970534,Christina Petalas,NA,https://openalex.org/W4393186820,Multidimensional niche differentiation of chick-rearing sympatric auks in the Gulf of St. Lawrence,Multidimensional niche differentiation of chick-rearing sympatric auks in the Gulf of St. Lawrence,2024-03-26,2024,article,https://doi.org/10.1007/s00227-024-04422-5,2,FALSE,closed,McGill,NA,McGill University
Christina Petalas,https://openalex.org/A5059970534,Christina Petalas,NA,https://openalex.org/W4406960314,"Coastal foraging increases mercury concentrations in a breeding seabird: Insights from isotopes, biologging, and prey","Coastal foraging increases mercury concentrations in a breeding seabird: Insights from isotopes, biologging, and prey",2025-01-30,2025,article,https://doi.org/10.1016/j.scitotenv.2025.178660,1,TRUE,hybrid,McGill,NA,McGill University
Christina Petalas,https://openalex.org/A5059970534,Christina Petalas,NA,https://openalex.org/W4400846654,Host–parasite contact and sensitivity to parasitism predict clutch abandonment in cowbird hosts,Host–parasite contact and sensitivity to parasitism predict clutch abandonment in cowbird hosts,2024-07-20,2024,article,https://doi.org/10.1016/j.anbehav.2024.06.021,0,TRUE,hybrid,McGill,NA,McGill University
Jessica Reemeyer,https://openalex.org/A5018785086,Jessica E. Reemeyer,https://orcid.org/0000-0002-0081-2573,https://openalex.org/W4403513910,Seasonal variation in thermal tolerance and hypoxia tolerance of a threatened minnow and a non-imperilled congener: a cautionary tale for surrogate species in conservation,Seasonal variation in thermal tolerance and hypoxia tolerance of a threatened minnow and a non-imperilled congener: a cautionary tale for surrogate species in conservation,2024-01-01,2024,article,https://doi.org/10.1093/conphys/coae071,8,TRUE,gold,McGill,PhD,McGill University
Jessica Reemeyer,https://openalex.org/A5018785086,Jessica E. Reemeyer,https://orcid.org/0000-0002-0081-2573,https://openalex.org/W4400364767,Effects of acute hypoxia exposure and acclimation on the thermal tolerance of an imperiled Canadian minnow,Effects of acute hypoxia exposure and acclimation on the thermal tolerance of an imperiled Canadian minnow,2024-07-05,2024,article,https://doi.org/10.1002/jez.2847,4,TRUE,hybrid,McGill,PhD,McGill University
Jawad Sakarchi,https://openalex.org/A5071804022,Jawad Sakarchi,https://orcid.org/0000-0002-3055-8473,https://openalex.org/W4291806975,The Evolution of Competitive Ability,The Evolution of Competitive Ability,2022-08-15,2022,article,https://doi.org/10.1086/722234,20,FALSE,closed,UBC,PhD,University of British Columbia
